UDPRN,UPRN,POSTCODE,STREET_DESCRIPTION,x,y,lat,lng,addr_date
53625928,10090973982,GU31 4FQ,CROCKFORD DRIVE,474372.03125,122399.453125,50.99618911743164,-0.9415727257728577,2014-11-10
53625929,10090973983,GU31 4FQ,CROCKFORD DRIVE,474375.6875,122396.4609375,50.996158599853516,-0.9415211081504822,2014-11-10
53625930,10090973984,GU31 4FQ,CROCKFORD DRIVE,474379.21875,122393.4296875,50.996131896972656,-0.94147127866745,2014-11-10
53625931,10090973985,GU31 4FQ,CROCKFORD DRIVE,474401.5625,122379.9765625,50.996009826660156,-0.9411557912826538,2014-11-10
53625932,10090973986,GU31 4FQ,CROCKFORD DRIVE,474405.75,122377.0,50.99597930908203,-0.9410969018936157,2014-11-10
53625933,10090973987,GU31 4FQ,CROCKFORD DRIVE,474415.59375,122371.1796875,50.99592590332031,-0.9409577250480652,2014-11-10
53625934,10090973988,GU31 4FQ,CROCKFORD DRIVE,474420.40625,122367.9375,50.99589920043945,-0.9408897161483765,2014-11-10
53647740,10090973739,GU32 2HN,HIGHFIELD ROAD,474592.96875,124007.421875,51.010616302490234,-0.938095211982727,2014-09-11
53647741,10090973740,GU32 2HN,HIGHFIELD ROAD,474599.90625,124011.1171875,51.01064682006836,-0.9379954934120178,2014-09-11
53647742,10090973741,GU32 2HN,HIGHFIELD ROAD,474605.625,124014.40625,51.010677337646484,-0.937913179397583,2014-09-11
53651924,10090974093,GU32 2BF,HIGHFIELD ROAD,474650.0,123925.3515625,51.00987243652344,-0.9372990727424622,2015-01-14
53651925,10090974094,GU32 2BF,HIGHFIELD ROAD,474644.5,123917.8125,51.009803771972656,-0.9373791813850403,2015-01-14
53651926,10090974095,GU32 2BF,HIGHFIELD ROAD,474660.1875,123891.1875,51.00956344604492,-0.9371609091758728,2015-01-14
53651927,10090974096,GU32 2BF,HIGHFIELD ROAD,474663.28125,123894.546875,51.00959014892578,-0.9371162056922913,2015-01-14
53651928,10090974097,GU32 2BF,HIGHFIELD ROAD,474674.125,123894.65625,51.00959014892578,-0.9369614124298096,2015-01-14
53658044,10090973744,GU32 3JL,HIGH STREET,474814.25,123261.1328125,51.003875732421875,-0.9350950121879578,2014-09-17
53658045,10090973745,GU32 3JL,HIGH STREET,474813.4375,123271.796875,51.00397491455078,-0.9351041913032532,2014-09-17
53658046,10090973746,GU32 3JL,HIGH STREET,474814.25,123261.1328125,51.003875732421875,-0.9350950121879578,2014-09-17
53658047,10090973747,GU32 3JL,HIGH STREET,474813.4375,123271.796875,51.00397491455078,-0.9351043105125427,2014-09-17
53705951,10090973953,GU32 3DP,CHAPEL STREET,474559.15625,123333.4375,51.00456237792969,-0.9387149810791016,2014-11-06
53705952,10090973954,GU32 3DP,CHAPEL STREET,474552.78125,123333.6875,51.00456237792969,-0.9388059973716736,2014-11-06
53705953,10090973955,GU32 3DP,CHAPEL STREET,474566.15625,123333.34375,51.00455856323242,-0.9386152029037476,2014-11-06
53761448,10090974072,GU31 5RS,NORTH LANE,474335.0,120395.0,50.97816848754883,-0.9425095915794373,2015-01-06
53761449,10090974073,GU31 5RS,NORTH LANE,474339.0,120396.0,50.978179931640625,-0.9424524903297424,2015-01-06
53761450,10090974074,GU31 5RS,NORTH LANE,474344.0,120396.0,50.978179931640625,-0.9423813223838806,2015-01-06
53761451,10090974075,GU31 5RS,NORTH LANE,474349.0,120395.0,50.97816848754883,-0.9423102736473083,2015-01-06
53811170,10090974148,GU32 3DT,CHAPEL STREET,474604.09375,123375.7265625,51.00493621826172,-0.9380661845207214,2015-02-18
53811171,10090974149,GU32 3DT,CHAPEL STREET,474604.09375,123375.7265625,51.00493621826172,-0.9380661845207214,2015-02-18
53811172,10090974150,GU32 3DT,CHAPEL STREET,474604.09375,123375.7265625,51.00493621826172,-0.9380661845207214,2015-02-18
53811173,10090974151,GU32 3DT,CHAPEL STREET,474604.09375,123375.7265625,51.00493621826172,-0.9380661845207214,2015-02-18
53811174,10090974152,GU32 3DT,CHAPEL STREET,474604.09375,123375.7265625,51.00493621826172,-0.9380661845207214,2015-02-18
54027274,10090974378,GU32 3EL,LAVANT STREET,474532.625,123457.4296875,51.005680084228516,-0.9390679001808167,2015-08-24
54027275,10090974379,GU32 3EL,LAVANT STREET,474535.09375,123454.3828125,51.00564956665039,-0.9390333294868469,2015-08-24
54027276,10090974380,GU32 3EL,LAVANT STREET,474535.09375,123454.3828125,51.00564956665039,-0.9390333294868469,2015-08-24
54027277,10090974381,GU32 3EL,LAVANT STREET,474535.09375,123454.3828125,51.00564956665039,-0.9390333294868469,2015-08-24
